qid,template,gold_size,pool_k,model,retrieved_size,candidate_size,recall_at_5,recall_at_20,recall_at_100,ceiling_normalized_recall_at_100,ndcg_at_5,ndcg_at_20,ndcg_at_100,candidate_precision,candidate_recall,candidate_f1,candidate_jaccard
0,_,2,1000,BM25,100,1000,0.5,0.5,0.5,0.5,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.002,1.0,0.003992015968063872,0.002
0,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
0,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
1,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
1,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
1,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
2,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
2,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
2,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
3,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
3,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
3,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
4,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
4,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
4,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
5,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
5,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
5,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
6,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
6,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
6,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
7,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
7,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
7,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
8,_,2,1000,BM25,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
8,_,2,1000,Qwen/Qwen3-Reranker-4B,100,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
8,_,2,1000,exact_constraint_verifier,2,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002,1.0,0.003992015968063872,0.002
